occupation,degree,sex,estimate count,count moe,median
Carpenters,less_bachelor,women,11420.0,2110.0,36470.0
Carpenters,bachelor,men,47080.0,3885.0,50940.0
Carpenters,bachelor_plus,men,55960.0,4010.0,51430.0
Carpenters,graduate,men,8880.0,2090.0,54090.0
"Carpet, floor, and tile installers and finishers",less_bachelor,men,76610.0,6600.0,42980.0
Cashiers,less_bachelor,men,169100.0,7205.0,31940.0
Cashiers,less_bachelor,women,408700.0,12550.0,27830.0
Cashiers,bachelor,men,32060.0,3390.0,36970.0
Cashiers,bachelor,women,36370.0,3795.0,31720.0
Cashiers,bachelor_plus,men,38430.0,3660.0,36810.0
Cashiers,bachelor_plus,women,45090.0,4525.0,31430.0
Cashiers,graduate,women,8720.0,1875.0,29410.0
"Cement masons, concrete finishers, and terrazzo workers",less_bachelor,men,30740.0,2980.0,53030.0
Chefs and head cooks,less_bachelor,men,224400.0,7925.0,42060.0
Chefs and head cooks,less_bachelor,women,49830.0,4800.0,36160.0
Chefs and head cooks,bachelor,men,29140.0,3365.0,54600.0
Chefs and head cooks,bachelor,women,10280.0,1980.0,45750.0
Chefs and head cooks,bachelor_plus,men,33890.0,3545.0,54060.0
Chefs and head cooks,bachelor_plus,women,11600.0,2100.0,44700.0
Chemical engineers,less_bachelor,men,7465.0,1960.0,89600.0
Chemical engineers,bachelor,men,32620.0,3340.0,117300.0
Chemical engineers,bachelor,women,9435.0,1930.0,113900.0
Chemical engineers,bachelor_plus,men,52770.0,3710.0,126000.0
Chemical engineers,bachelor_plus,women,14100.0,2045.0,117400.0
Chemical engineers,graduate,men,20150.0,2950.0,133600.0
"Chemical processing machine setters, operators, and tenders",less_bachelor,men,42090.0,4470.0,59840.0
"Chemical processing machine setters, operators, and tenders",bachelor,men,12970.0,2065.0,55700.0
"Chemical processing machine setters, operators, and tenders",bachelor_plus,men,15420.0,2145.0,54670.0
Chemical technicians,less_bachelor,men,21100.0,2915.0,61270.0
Chemical technicians,less_bachelor,women,10140.0,2300.0,52520.0
Chemical technicians,bachelor,men,9405.0,2150.0,71200.0
Chemical technicians,bachelor_plus,men,11380.0,2300.0,72190.0
Chemists and materials scientists,bachelor,men,25260.0,2735.0,80280.0
Chemists and materials scientists,bachelor,women,17970.0,1880.0,66520.0
Chemists and materials scientists,bachelor_plus,men,47530.0,3605.0,94690.0
Chemists and materials scientists,bachelor_plus,women,28990.0,2525.0,75550.0
Chemists and materials scientists,graduate,men,22270.0,2365.0,107700.0
Chemists and materials scientists,graduate,women,11030.0,1530.0,99250.0
Chief executives,less_bachelor,men,252600.0,9645.0,122400.0
Chief executives,less_bachelor,women,93540.0,5820.0,96450.0
Chief executives,bachelor,men,388400.0,11960.0,193200.0
Chief executives,bachelor,women,154700.0,6625.0,144500.0
Chief executives,bachelor_plus,men,663200.0,16070.0,202500.0
Chief executives,bachelor_plus,women,279800.0,9010.0,154000.0
Chief executives,graduate,men,274800.0,9465.0,211400.0
Chief executives,graduate,women,125200.0,5205.0,164100.0
"Child, family, and school social workers",less_bachelor,women,13040.0,2430.0,42220.0
"Child, family, and school social workers",bachelor,women,20190.0,2435.0,50750.0
"Child, family, and school social workers",bachelor_plus,women,38680.0,3480.0,54700.0
"Child, family, and school social workers",graduate,women,18500.0,2635.0,61250.0
Childcare workers,less_bachelor,men,9380.0,1820.0,41180.0
Childcare workers,less_bachelor,women,225100.0,9235.0,27500.0
Childcare workers,bachelor,women,47910.0,4410.0,32880.0
Childcare workers,bachelor_plus,women,59960.0,4755.0,32470.0
Childcare workers,graduate,women,12050.0,1995.0,31620.0
Chiropractors,bachelor_plus,men,30460.0,3000.0,91110.0
Chiropractors,bachelor_plus,women,11320.0,2060.0,77360.0
Chiropractors,graduate,men,28350.0,2730.0,91000.0
Chiropractors,graduate,women,9985.0,1990.0,78110.0
Civil engineers,less_bachelor,men,36490.0,3615.0,83960.0
Civil engineers,bachelor,men,192700.0,8630.0,100500.0
Civil engineers,bachelor,women,36810.0,3550.0,93410.0
Civil engineers,bachelor_plus,men,284200.0,10530.0,105000.0
Civil engineers,bachelor_plus,women,59010.0,4425.0,96690.0
Civil engineers,graduate,men,91490.0,5735.0,120300.0
Civil engineers,graduate,women,22200.0,2840.0,101300.0
"Claims adjusters, appraisers, examiners, and investigators",less_bachelor,men,44350.0,3740.0,64740.0
"Claims adjusters, appraisers, examiners, and investigators",less_bachelor,women,96580.0,5475.0,51210.0
"Claims adjusters, appraisers, examiners, and investigators",bachelor,men,53810.0,3695.0,75620.0
"Claims adjusters, appraisers, examiners, and investigators",bachelor,women,62400.0,4840.0,64650.0
"Claims adjusters, appraisers, examiners, and investigators",bachelor_plus,men,68630.0,4245.0,77650.0
"Claims adjusters, appraisers, examiners, and investigators",bachelor_plus,women,77800.0,5435.0,67140.0
"Claims adjusters, appraisers, examiners, and investigators",graduate,men,14820.0,2110.0,89280.0
